date,bitcoin_price,ethereum_price,btc_price,monero_price,dashpay_price,bitcoin_volume,ethereum_volume,btc_volume,monero_volume,dashpay_volume
01/25/21 06:00 PM,33769.1,1398.8,450.34,142.71,105.96640189,12137553.956648,10164975.4057866,69839.3668919744,23720.687234262,17.67226408
01/25/21 07:00 PM,33640,1372.97,446.56,141.31,105.05315016,12173767.310378,3381741.657681,104430.494545439,6004.1244111171,92.81499673
01/25/21 08:00 PM,33411.42,1383.25,446.36,141.31,105.86735614,15153077.1762965,7382622.57785409,169693.15301744,37045.8825075072,13.32160445
01/25/21 09:00 PM,33444,1368.67,444.69,140.79,104.74689657,27013581.0938914,16930489.3001209,261782.281201342,22224.6277767288,0
01/25/21 10:00 PM,32706.25,1346.72,437.96,138.85,105.25773519,15343702.4146222,6242719.09633026,90470.6840023558,9641.2959791102,10.11484205
01/25/21 11:00 PM,32473.16,1325.7,434.9,138.07,104,11148489.8002185,5809564.77842413,157691.31848148,5780.1030159083,35.47270352
01/26/21 12:00 AM,32264.15,1316.21,431.9,136.99,103.62969261,19498121.9528688,13270913.278545,98007.16579872,5473.5038150598,3.59912795
01/26/21 01:00 AM,32503.29,1367.08,436,138.56,103.51925668,12896929.2527299,7189855.5867903,40962.4346015712,38893.3975442015,0.61215954
01/26/21 02:00 AM,32755.25,1376.77,437.02,140.07,102.90314989,13817507.4571602,2598698.31620334,67498.7629422679,3256.7342671976,10.3987995
01/26/21 03:00 AM,32319.35,1349.76,433.99,140.14,101.80624912,17294372.5667401,6559605.86472285,221633.725168795,8467.1141560076,2.12958268
01/26/21 04:00 AM,31533.8,1312.77,428.53,137.07,103.4172206,11334547.2751445,2873619.60844392,120002.105172408,14293.9533488664,1.39206682
01/26/21 05:00 AM,32037.52,1339.6,427.12,137.21,102.50471884,4690468.3777843,1400383.59465437,322312.960442823,2137.3455267543,0.95
01/26/21 06:00 AM,32090,1338.96,430.84,138.31,104.49982877,10239414.0891996,1926311.21394363,186699.828887502,3182.0743427814,4.64889632
